mine_request,mined,hardness,node_id,node_identifier,blockchain_length,is_pool,number_of_nodes,mining_time
24,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
24,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
25,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
25,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
25,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
26,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
26,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
26,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
27,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
27,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
27,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
28,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
28,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
28,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
29,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
29,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
29,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
30,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
30,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
30,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
31,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
31,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
31,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
32,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
32,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
32,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
33,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
33,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
33,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
34,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
34,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
34,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
35,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
35,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
35,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
36,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
36,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
36,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
37,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
37,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
37,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
38,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
38,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
38,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
39,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
39,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
39,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
40,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
40,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
40,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
41,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
41,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
41,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
42,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
42,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
42,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
43,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
43,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
43,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
44,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
44,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
44,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
45,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
45,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
45,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
46,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
46,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
46,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
47,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
47,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
47,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
48,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
48,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
48,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
49,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
49,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
49,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
50,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
50,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
50,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
51,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
51,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
51,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
52,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
52,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
52,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
53,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
53,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
53,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
54,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
54,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
54,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
55,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
55,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
55,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
56,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
56,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
56,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
57,0,5,0,6f200eca79ad4d698e16f1d669cb89b1,1,0,1,-
57,0,5,1,b42dccea23364a188bd2f9c8f18012d1,1,0,1,-
57,0,5,2,6e0872ee4ef54b7e9fc9623088a09c0f,1,1,4,-
