resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,99,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,99,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,99,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,104,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,104,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,104,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,109,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,109,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,109,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,114,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,114,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,114,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,119,False,1,True
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,119,False,1,False
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,119,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,124,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,124,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,124,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,129,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,129,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,129,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,134,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,134,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,134,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,139,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,139,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,139,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,144,False,1,True
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,144,False,1,False
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,144,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,149,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,149,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,149,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,154,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,154,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,154,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,159,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,159,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,159,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,164,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,164,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,164,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,169,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,169,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,169,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,174,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,174,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,174,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,179,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,179,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,179,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,184,False,1,False
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,184,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,184,True,2,True
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,189,False,1,True
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,189,False,1,True
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,189,True,2,False
1,3,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,194,False,1,True
1,3,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,194,False,1,False
1,3,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,194,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,199,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,199,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,199,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,204,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,204,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,204,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,209,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,209,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,209,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,214,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,214,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,214,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,219,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,219,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,219,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,224,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,224,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,224,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,229,False,1,False
1,2,1,"('Node-1',)",1,f429554d7a374bd58aad1564089deb41,229,False,1,True
1,2,2,"('Node-2',)",2,0534110f55954e5799f8006f25b994fd,229,True,2,True
1,2,0,"('Node-0',)",0,15b0e5a0847b49218ed70589ab4e3c05,234,False,1,False
