resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
90,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
90,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
90,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
91,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
91,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
91,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
92,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
92,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
92,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
93,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
93,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
93,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
94,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
94,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
94,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
95,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
95,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
95,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
96,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
96,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
96,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
97,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
97,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
97,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
98,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
98,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
98,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
99,4,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
99,4,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
99,4,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
100,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
100,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
100,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
101,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
101,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
101,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
102,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
