resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
164,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
164,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
164,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
165,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
165,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
165,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
166,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
166,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
166,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
167,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
167,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
167,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
168,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
168,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
168,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
169,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
169,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
169,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
170,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
170,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
170,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
171,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
171,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
171,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
172,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
172,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
172,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
173,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
173,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
173,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
174,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
174,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
174,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
175,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
175,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
175,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
176,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
176,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
176,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
177,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
177,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
